REVIEW_PANEL,MEDICALSPECIALTY,PRODUCTCODE,DEVICENAME,DEVICECLASS,Specialty,Medcomp,Martech,Point,Additional Information,Javascript
AN,AN,BRW,"Protector, Dental",1,Anesthesiology,No,No,No,,"{ name:""Protector, Dental (BRW)"", productCode:""BRW"", deviceName:""Protector, Dental"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BRX,"Stool, Anesthesia",1,Anesthesiology,No,No,No,,"{ name:""Stool, Anesthesia (BRX)"", productCode:""BRX"", deviceName:""Stool, Anesthesia"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BRY,"Cabinet, Table And Tray, Anesthesia",1,Anesthesiology,No,No,No,,"{ name:""Cabinet, Table And Tray, Anesthesia (BRY)"", productCode:""BRY"", deviceName:""Cabinet, Table And Tray, Anesthesia"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BSE,"Analyzer, Gas, Helium, Gaseous-Phase",2,Anesthesiology,No,No,No,,"{ name:""Analyzer, Gas, Helium, Gaseous-Phase (BSE)"", productCode:""BSE"", deviceName:""Analyzer, Gas, Helium, Gaseous-Phase"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BSF,"Absorber, Carbon-Dioxide",1,Anesthesiology,No,No,No,,"{ name:""Absorber, Carbon-Dioxide (BSF)"", productCode:""BSF"", deviceName:""Absorber, Carbon-Dioxide"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BSI,"Algesimeter, Powered",2,Anesthesiology,No,No,No,,"{ name:""Algesimeter, Powered (BSI)"", productCode:""BSI"", deviceName:""Algesimeter, Powered"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BSJ,"Mask, Gas, Anesthetic",1,Anesthesiology,No,No,No,,"{ name:""Mask, Gas, Anesthetic (BSJ)"", productCode:""BSJ"", deviceName:""Mask, Gas, Anesthetic"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BSK,"Cuff, Tracheal Tube, Inflatable",2,Anesthesiology,No,No,No,,"{ name:""Cuff, Tracheal Tube, Inflatable (BSK)"", productCode:""BSK"", deviceName:""Cuff, Tracheal Tube, Inflatable"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BSN,"Filter, Conduction, Anesthetic",2,Anesthesiology,No,No,No,,"{ name:""Filter, Conduction, Anesthetic (BSN)"", productCode:""BSN"", deviceName:""Filter, Conduction, Anesthetic"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BSO,"Catheter, Conduction, Anesthetic",2,Anesthesiology,Yes,No,No,,"{ name:""Catheter, Conduction, Anesthetic (BSO)"", productCode:""BSO"", deviceName:""Catheter, Conduction, Anesthetic"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:true, martech:false, point:false, info:"""" },"
AN,AN,BSP,"Needle, Conduction, Anesthetic (W/Wo Introducer)",2,Anesthesiology,No,No,No,,"{ name:""Needle, Conduction, Anesthetic (W/Wo Introducer) (BSP)"", productCode:""BSP"", deviceName:""Needle, Conduction, Anesthetic (W/Wo Introducer)"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BSR,"Stylet, Tracheal Tube",1,Anesthesiology,No,No,No,,"{ name:""Stylet, Tracheal Tube (BSR)"", productCode:""BSR"", deviceName:""Stylet, Tracheal Tube"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BSY,"Catheters, Suction, Tracheobronchial",1,Anesthesiology,No,No,No,,"{ name:""Catheters, Suction, Tracheobronchial (BSY)"", productCode:""BSY"", deviceName:""Catheters, Suction, Tracheobronchial"", deviceClass:""Class I"", deviceClassNum:1, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
AN,AN,BSZ,"Gas-Machine, Anesthesia",2,Anesthesiology,No,No,No,,"{ name:""Gas-Machine, Anesthesia (BSZ)"", productCode:""BSZ"", deviceName:""Gas-Machine, Anesthesia"", deviceClass:""Class II"", deviceClassNum:2, specialty:""Anesthesiology"", medcomp:false, martech:false, point:false, info:"""" },"
